epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,6136.54,0.77292,0.63487,1.13014,0.92884,0.85787,0.92872,0.70308,0.95441,0.60126,1.24992,0.004258,0.004258,0.004258
118,6188.73,0.77901,0.639,1.13674,0.92867,0.84659,0.92626,0.70521,0.95568,0.5926,1.25344,0.0042085,0.0042085,0.0042085
119,6240.77,0.78761,0.64349,1.14015,0.92746,0.861,0.92863,0.71046,0.94646,0.58981,1.25244,0.004159,0.004159,0.004159
120,6295.02,0.76699,0.62616,1.12536,0.92463,0.86582,0.92995,0.71071,0.94313,0.58812,1.24856,0.0041095,0.0041095,0.0041095
121,6348.97,0.76771,0.6207,1.13125,0.91469,0.85695,0.92935,0.70715,0.94925,0.59163,1.25542,0.00406,0.00406,0.00406
122,6401.24,0.76381,0.62996,1.13082,0.91263,0.85966,0.92691,0.70318,0.95262,0.59436,1.2585,0.0040105,0.0040105,0.0040105
123,6454.74,0.77469,0.61745,1.1322,0.92059,0.85621,0.92816,0.70431,0.95594,0.60277,1.257,0.003961,0.003961,0.003961
124,6508.58,0.76678,0.60973,1.12461,0.92693,0.85747,0.92724,0.70308,0.95347,0.60349,1.25114,0.0039115,0.0039115,0.0039115
125,6560.86,0.76549,0.61692,1.12478,0.94161,0.84449,0.92554,0.7023,0.9538,0.59322,1.25366,0.003862,0.003862,0.003862
126,6614.63,0.75879,0.60853,1.12091,0.92882,0.85556,0.92418,0.70437,0.95622,0.60587,1.25922,0.0038125,0.0038125,0.0038125
127,6666.84,0.74885,0.60478,1.11413,0.93032,0.85347,0.9264,0.70535,0.95203,0.59821,1.25552,0.003763,0.003763,0.003763
128,6719.46,0.74905,0.59627,1.11959,0.91788,0.86867,0.93048,0.70711,0.95312,0.58622,1.25596,0.0037135,0.0037135,0.0037135
129,6772.04,0.75179,0.60532,1.12189,0.93122,0.85545,0.92748,0.70873,0.9519,0.58687,1.2552,0.003664,0.003664,0.003664
130,6824.27,0.74985,0.59646,1.11495,0.92646,0.85869,0.92729,0.70789,0.95014,0.59524,1.24893,0.0036145,0.0036145,0.0036145
131,6876.35,0.74201,0.59958,1.11341,0.92793,0.86368,0.92974,0.7048,0.95672,0.59371,1.25397,0.003565,0.003565,0.003565
132,6929.5,0.74704,0.59806,1.11598,0.93015,0.85952,0.92838,0.70992,0.95306,0.60409,1.25092,0.0035155,0.0035155,0.0035155
133,6981.63,0.74599,0.59095,1.1192,0.92459,0.86851,0.92846,0.70926,0.95394,0.6013,1.25313,0.003466,0.003466,0.003466
134,7033.79,0.73952,0.58904,1.11158,0.9228,0.86285,0.92633,0.70833,0.95039,0.60537,1.25296,0.0034165,0.0034165,0.0034165
135,7086.11,0.74459,0.59465,1.11408,0.93662,0.85568,0.9268,0.70882,0.95365,0.60085,1.25605,0.003367,0.003367,0.003367
136,7138.25,0.7373,0.58708,1.11223,0.91464,0.87033,0.92908,0.70755,0.95262,0.595,1.25652,0.0033175,0.0033175,0.0033175
137,7190.61,0.72866,0.57639,1.10469,0.91431,0.87268,0.92768,0.7093,0.95173,0.58742,1.25637,0.003268,0.003268,0.003268
138,7242.93,0.73811,0.584,1.10775,0.92264,0.867,0.92669,0.70734,0.95464,0.59063,1.25617,0.0032185,0.0032185,0.0032185
139,7295.86,0.73812,0.58083,1.10795,0.92471,0.86368,0.92639,0.70923,0.96566,0.59109,1.26517,0.003169,0.003169,0.003169
140,7349.19,0.72464,0.58171,1.10762,0.93467,0.85136,0.92427,0.70968,0.95877,0.59395,1.26223,0.0031195,0.0031195,0.0031195
